    0.8188381958E+02 0.0000000000E+00   -0.9562424469E+02 0.0000000000E+00    0.6388000846E+00 0.0000000000E+00   -0.5694885254E+00 0.0000000000E+00    0.1935332315E-02 0.0000000000E+00   -0.5945574120E-01 0.0000000000E+00   -0.5329815865E+01 0.0000000000E+00   -0.1688776135E+01 0.0000000000E+00   -0.1466128826E+01 0.0000000000E+00    0.1563389492E+02 0.0000000000E+00
    0.8184770203E+02 0.0000000000E+00   -0.9556383514E+02 0.0000000000E+00    0.6384331584E+00 0.0000000000E+00   -0.5676795244E+00 0.0000000000E+00    0.2384790452E-02 0.0000000000E+00   -0.5894409493E-01 0.0000000000E+00   -0.5340254784E+01 0.0000000000E+00   -0.1580221891E+01 0.0000000000E+00   -0.1470197916E+01 0.0000000000E+00    0.1560225105E+02 0.0000000000E+00
    0.8184885406E+02 0.0000000000E+00   -0.9557387543E+02 0.0000000000E+00    0.6382770538E+00 0.0000000000E+00   -0.5674478412E+00 0.0000000000E+00    0.2450063126E-02 0.0000000000E+00   -0.5887437239E-01 0.0000000000E+00   -0.5349615097E+01 0.0000000000E+00   -0.1571745396E+01 0.0000000000E+00   -0.1467724323E+01 0.0000000000E+00    0.1560148811E+02 0.0000000000E+00
    0.8184223938E+02 0.0000000000E+00   -0.9554081726E+02 0.0000000000E+00    0.6386623979E+00 0.0000000000E+00   -0.5679021478E+00 0.0000000000E+00    0.2316011582E-02 0.0000000000E+00   -0.5902054906E-01 0.0000000000E+00   -0.5324641705E+01 0.0000000000E+00   -0.1585627198E+01 0.0000000000E+00   -0.1474987149E+01 0.0000000000E+00    0.1560097313E+02 0.0000000000E+00
    0.8185879517E+02 0.0000000000E+00   -0.9558073425E+02 0.0000000000E+00    0.6385850310E+00 0.0000000000E+00   -0.5683006644E+00 0.0000000000E+00    0.2229130827E-02 0.0000000000E+00   -0.5911773443E-01 0.0000000000E+00   -0.5335391521E+01 0.0000000000E+00   -0.1615225077E+01 0.0000000000E+00   -0.1469286919E+01 0.0000000000E+00    0.1561208248E+02 0.0000000000E+00
    0.8187321472E+02 0.0000000000E+00   -0.9561193085E+02 0.0000000000E+00    0.6385802627E+00 0.0000000000E+00   -0.5687556863E+00 0.0000000000E+00    0.2123320010E-02 0.0000000000E+00   -0.5923719332E-01 0.0000000000E+00   -0.5340741158E+01 0.0000000000E+00   -0.1646148562E+01 0.0000000000E+00   -0.1465326071E+01 0.0000000000E+00    0.1562257957E+02 0.0000000000E+00
    0.8186108398E+02 0.0000000000E+00   -0.9558970642E+02 0.0000000000E+00    0.6385116577E+00 0.0000000000E+00   -0.5682472587E+00 0.0000000000E+00    0.2246977529E-02 0.0000000000E+00   -0.5909752473E-01 0.0000000000E+00   -0.5340823650E+01 0.0000000000E+00   -0.1614603400E+01 0.0000000000E+00   -0.1467522025E+01 0.0000000000E+00    0.1561283588E+02 0.0000000000E+00
    0.8185459900E+02 0.0000000000E+00   -0.9557886505E+02 0.0000000000E+00    0.6384341717E+00 0.0000000000E+00   -0.5678991079E+00 0.0000000000E+00    0.2333630575E-02 0.0000000000E+00   -0.5900119990E-01 0.0000000000E+00   -0.5342960358E+01 0.0000000000E+00   -0.1594714999E+01 0.0000000000E+00   -0.1468242049E+01 0.0000000000E+00    0.1560720253E+02 0.0000000000E+00
    0.8189775848E+02 0.0000000000E+00   -0.9561795807E+02 0.0000000000E+00    0.6394812465E+00 0.0000000000E+00   -0.5711659193E+00 0.0000000000E+00    0.1486312016E-02 0.0000000000E+00   -0.6002903357E-01 0.0000000000E+00   -0.5282271385E+01 0.0000000000E+00   -0.1789996147E+01 0.0000000000E+00   -0.1476036429E+01 0.0000000000E+00    0.1565819454E+02 0.0000000000E+00
    0.8188452911E+02 0.0000000000E+00   -0.9585315704E+02 0.0000000000E+00    0.6334831119E+00 0.0000000000E+00   -0.5623112917E+00 0.0000000000E+00    0.4088010639E-02 0.0000000000E+00   -0.5770443380E-01 0.0000000000E+00   -0.5522947311E+01 0.0000000000E+00   -0.1527042389E+01 0.0000000000E+00   -0.1416589260E+01 0.0000000000E+00    0.1564667034E+02 0.0000000000E+00
